title,job_type,location
Senior Data Analyst,Full Time,Lagos
Operations Data Analyst (Cement),Full Time,Lagos
Data Engineering Manager,Full Time,Lagos
Data Engineer,Full Time,Nigeria
Data Analyst (MIS),Full Time,Ogun
Senior Data Analyst - Nigeria,Full Time,Remote
Data Collection and Data Entry Specialist,,Remote
Data Scientist.Enterprise Business NG,,Lagos
Data Science Tutor/Instructor,,Lagos
Business Analyst,,Remote
Senior Data Analyst,,Remote
Operations Data Analyst (Cement),,Lagos
Data Scientist,,Abuja
Data Analyst (MIS),,Nigeria
Data Scientist.Enterprise Business NG,,Lagos
Data Governance Lead,,Lagos
Financial Data Analyst,,Lagos
Data Analyst,,Nigeria
Glovo Analyst Program - Nigeria,,Lagos
Data Analyst,,Lagos
AFRICA Partner Cloud Solution Architect (Azure Data & AI),,Lagos
Data Engineer,,Lagos
Data Analyst,,Port Harcourt & Rivers State
SAP Consultant ( Data Migration),,Abuja
Growth Data Analyst,,Lagos
"Data Scientist, Marketing and Growth",,Lagos
Analyst - Bid.Enterprise Business NG,,Lagos
Analyst - Bid.Enterprise Business NG,,Lagos
Database Administrator,,Lagos
Data Assessor(s),,Nigeria
SAP Functional Support Analyst - Finance,,Lagos
Data Analyst,,Remote
"Manager, People Data Management",,Remote
"Process, Data & Analytics, Manager",,Remote
Analyst - Revenue Assurance Interconnect.Finance,,Lagos
Database Administrator,,Lagos
Analyst - Revenue Assurance Interconnect.Finance,,Nigeria
Manager - Data Analytics and CCM.Internal Audit And Forensics,,Nigeria
Data Analyst,,Lagos
Data Controller,,Port Harcourt & Rivers State
Data Engineer â VerifyMe Nigeria,,Lagos
Data Analyst,,
Human Resources Data Analyst,,
Data Analyst,,
Operations Data,,
Data Analyst,,
Data Analyst,,
Data Analyst,,
Data Analyst,,Nigeria
Data Analyst,,
Data Analyst,,
Data Analyst,,
Data Analyst,,
Data Analyst,,
Data Analyst,,
Data Analyst,,
Data Analyst,,
Data Analyst,,
Senior Data,,Ogun
Data Analyst,,
Database Administrator II,Contract,
Client Database Manager,Contract,
Data Entry Specialist,Permanent,
Data analyst,Freelance,
Data Analyst,Freelance,
Data analyst,Permanent,
Data analyst,Permanent,
Data analyst,Permanent,
Data analyst,Permanent,Remote
Data analyst,Permanent,
DATA ENRTY CLERK,Permanent,
Data Analytic Teacher,Permanent,
Data analyst,Remote,
Data analyst,Remote,
Data analyst,Remote,
Financial Analysts,Remote,
Data analyst,Remote,
Data analyst,Remote,
Data analyst,Remote,Remote
Data analyst,Remote,
Data analyst,Remote,
Business Analyst (Financial sector),Permanent,
Data Analyst & Business Intelligence,Freelance,
Data Analyst - Growth,Freelance,
Business and Data Analyst,Freelance,
Analyst Consultant,Permanent,
Data analyst,Freelance,
Data Entry Officer,Freelance,
IT Business Analyst,Permanent,Lagos
Graduate Intern (Research and / or Data Management),Full Time,Abuja
Principal Programme Officer Statistical Harmonization and Data Management,Full Time,Abuja
Senior HR Assistant Data Management,Full Time,Abuja
Programme Officer Data Management,Full Time,Abuja
Data Analyst,Full Time,Abuja
"Unit Head, Data Monetization - Nigeria",Full Time,Lagos
"Senior Analyst, Data Architecture - Nigeria",Full Time Hybrid,Lagos
Data Analyst & Sales Operations Officer,Full Time,Lagos
Data Analytics & Data Science Instructor,Full Time,Lagos
"Team Lead, Data Centre Operations",Full Time,Lagos
Network/Data Centre Engineer - Dispatch,Full Time,Remote
Senior Data Scientist,Remote,Remote
Salesforce Data Entry Returnee - Global,Remote,Lagos
"Team Lead, Data Centre Operations",Full Time,Abuja
AWS Cloud Data Engineer,Full Time Remote,Nigeria
Data Scientist,Full Time,Lagos
Data Collector and Enumerator,Full Time,Lagos
Data Science for Creatives,Full Time Remote,Lagos
Data Analyst,Full Time,Nigeria
Head Data Commercialization,Full Time,Remote
Enumerator / Data Collection Personnel,Contract,Nigeria
"Data Analyst, Schools",Full Time,Lagos
Data Dashboard Developer,Full Time,Abuja
Data Dashboard Developer,Full Time,Lagos
Data Analyst,Contract,Abuja
Data Specialist,Full Time,Abia
Data Analyst,Full Time,Lagos
Data Analyst/Scientist,Full Time,Abuja
"Branch Chief, Monitoring, Evaluation & Data Analytics",Full Time,Lagos
Data Analyst,Full Time,Remote
Tutor- Data science,Full Time,Benue
Receivable Data Entry Officer,Full Time,Lagos
Data Engineer - Big Data,Full Time Remote,Lagos
Data Analyst,Full Time,
Senior Data Base Administrator,Full Time,Lagos
Data Sales Consultant,Full Time,Kogi
Data Analyst,Full Time,
Data Sales Consultant,Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Data Operator,Full Time,Lagos
Investment Data Analyst,Full Time,Lagos
Data Collectors/Supervisors- Lead Mothers Quantitative Study,Full Time,Kano
Master and Reference Data Analyst,Full Time,Lagos
Data Governance Team Lead,Full Time,Lagos
Data Quality Team Member,Full Time,Lagos
"Senior Data Engineer - Global, Remote",Full Time Remote,Lagos
Data Sales Consultant,Full Time,Lagos
Data Analyst,Full Time,
Data Science Specialist,Full Time,Plateau
Production Data Entry Officer,Full Time,Abuja
Inventory Data Entry Officer,Full Time,Lagos
Senior Data Analyst,Full Time,Lagos
Data Analytics and Visualization Program Associate,Full Time,Abuja
Data Analyst,Full Time,Lagos
Generative AI and Data Science Internship Program,Full Time Remote,Abia
Financial Data Analyst,Full Time Remote,Lagos
"Nutrition Officer (Data, Analytics and Evidence)",Full Time,Sokoto
Data Analyst Instructor,Full Time,Lagos
Data Analysis Resource Person,Full Time,Oyo
Data Analyst,Full Time,Nigeria
Data Entry Assistant,Full Time,Edo
Technical Officer - Data Visualization,Full Time,Abuja
Senior Pre-Sales Engineer (Data Centre Solutions & BMS),Full Time,Lagos
Data Entry Specialist,Full Time,Ondo
Data Ops Manager,Full Time,Lagos
Data Analyst,Full Time,Lagos
"Head, Data Governance",Full Time,Lagos
 Data Entry Clerk (3rd 95 Lead) ,Full Time,Edo
Data Entry Clerk (Generic),Full Time,Edo
Data Processing Officer II,Full Time,Lagos
Data Engineer,Full Time,Lagos
Data Insight Analyst,Remote,Lagos
Data Engineering Manager,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Clerk,Contract Full Time,Taraba
Data Integrity and Reconciliation Manager,Full Time,Lagos
HR Data Analyst,Full Time,Lagos
"Data Analyst (Python, SQL",Full Time Remote,Lagos
Data-Business Analyst,Full Time,Lagos
Data Center Director,Full Time,Lagos
Data Analyst,Full Time,Lagos
Senior Data Analyst,Full Time,Lagos
Data Quality and Capture Officer,Full Time,Abuja
Data Visualisation Officer,Full Time,Abuja
CNC Programmer and Data Operator,Full Time,Lagos
Data Engineer,Full Time,Lagos
Contract Data Cabling Technician,Full Time,Abuja
Data Processing Teacher,Full Time,Rivers
Business Analyst,Full Time,Lagos
"Team Lead, Data Centre Operations",Full Time,Lagos
Data Analyst (Team Lead),Full Time,Lagos
Head of Data Science,Full Time,Lagos
Data Entry Specialist,Full Time,Ondo
Senior Pre-Sales Engineer (Data Centre Solutions & BMS),Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Collector,Full Time,Lagos
Data Scientist,Full Time,Lagos
Operations Data Analyst (Cement),Full Time,Ogun
Data Center Engineer,Full Time,Nigeria
Data Engineering Manager,Full Time,Lagos
Data Analyst,Remote,Lagos
Data Engineer,Full Time,Lagos
Data Collection Officer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Remote,Lagos
Growth Data Analyst,Full Time,Lagos
"Data Scientist, Marketing and Growth",Full Time,Lagos
Data Analyst (MIS),Full Time,Ogun
Data Scientist,Full Time,Lagos
Computer / Data Processing Teacher ,Full Time,Lagos
Data Entry Assistant,Contract,Lagos
Data science Tutor,Full Time,Lagos
Data Analyst,Full Time,Port Harcourt & Rivers State
"Data Asset Privacy, Consent and Compliance",Full Time,Abuja
Data Governance Lead,Full Time,Lagos
Volunteer Data Analyst,Full Time,Lagos
Data Analyst,Full Time Remote,Lagos
Data Scientist,Full Time,Lagos
Data Analyst,Full Time,Lagos
"Data Analytics and Data Science Tutor - NYSC Member, PPA",Full Time,Abuja
Junior HR Data-Analyst (Female),Full Time,Lagos
Sales Team Lead (Data Analytics),Full Time,Lagos
Data Engineer,Remote,Lagos
Data Entry Officer,Full Time,Abuja
Data Analytics and Visualization Instructor,Contract,Abuja
Data Science and Machine Learning Instructor,Contract,Abuja
Python Data Scientist,Full Time,Abuja
Data and Management Information System Manager,Full Time,Lagos
Data Entry Clerk,Full Time,Lagos
Data Administrator,Full Time,Rivers
Data Engineer,Full Time,Abia
Data Engineer,Full Time,Lagos
"National Research, Data and Policy Officer",Full Time,Abuja
Data Science Tutor,Full Time,Nigeria
HR Data Analyst,Full Time,Lagos
Data Center Planning and Design Manager,Full Time,Lagos
Data Analyst I,Full Time,Lagos
Data Entry Officer II,Full Time,Lagos
Data Intern,Contract,Lagos
Africa Partner Cloud Solution Architect (Azure Data & AI),Full Time,Lagos
Senior Data Analyst - Nigeria,Full Time Remote,Abia
Contract Data Cabling Technician,Full Time,Abuja
Senior Portfolio and Data Analytics Officer,Full Time,
Data Science Intern,Full Time,Lagos
Head of Data Science,Full Time,Lagos
Data Entry Specialist,Full Time,Ondo
Data Scientist,Full Time,Lagos
Data Analyst Activity Manager,Full Time,Kano
Big Data Developer,Full Time,Port Harcourt & Rivers State
Data Analyst,Full Time,Lagos
Data Entry Accountant,Full Time,Lagos
"Director, Research and Data Analysis",Full Time Remote,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Lagos
Finance and Data Intern,Full Time,Lagos
Data Mining Officer,Full Time,
Higher Data Processing Officer,Full Time,Lagos
SMC End of Round Data Collectors’ LGA Supervisor - Taraba,Full Time,Taraba
SMC End of Round Data Collectors' LGA Supervisor - Katsina,Full Time,Abuja
Data Entry Officer,Full Time,Lagos
Data Capturer,Full Time,Lagos
Data Centre Support,Full Time,Lagos
Data Entry Clerk,Full Time,Lagos
Data Analyst,Full Time,Edo
IT & Data Privacy Compliance Auditor,Full Time,Lagos
Data Officer,Contract,Lagos
Data Analyst,Full Time,Delta
Data Center Facility Engineer,Full Time,Lagos
Data Analyst - Intern,Full Time,Lagos
Data Engineering Lead Trainer,Remote,
Data Centre Technician,Full Time,Lagos
Senior Data Scientist/Prompt Designer/Prompt Engineer,Remote,Abuja
"Supervisor, Medical Data Entry",Full Time,Ebonyi
"Analyst, Data Privacy",Full Time,Lagos
Technical Data Management Analyst,Full Time,Lagos
Growth Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Warehousing AWS- (Trainer),Part Time Remote,Lagos
Data Analyst,Full Time,Lagos
Evaluation / Data Specialist - Election Portfolio Performance Evaluation,Full Time,Abuja
Data Engineer,Full Time,Lagos
"Course Creator (Data Analysis, Data Science, and Data Engineering)",Full Time,
Data Protection Officer,Full Time,Abuja
CVM (Customer Value Management) Data & Reporting Analyst,Full Time,Lagos
Senior Business Data Analyst,Full Time,Abuja
Lead Data Officer,Full Time,Lagos
Data Scientist,Full Time,Lagos
Analyst - Data Governance,Full Time,Lagos
Programme Officer Migration Data (FMM II),Full Time,Lagos
Data Analyst – Nigeria IHP,Full Time,Ebonyi
Data Analysis Instructor,Full Time,Oyo
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Abia
Data Officer,Contract,Lagos
Warehouse Data Officer,Full Time,Borno
Data Assessor(s),Full Time,Akwa Ibom
Data Entry Officer,Contract,Lagos
Data Collector: SMC Impact Assessment,Full Time,"Abuja , Kogi , Oyo"
"Head, Data Governance & Advisory",Full Time,Lagos
Data Collector,Full Time,Lagos
Business & Data Analyst,Full Time,Oyo
CCIE Data Center Solution Architect,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Specialist,Full Time,Abia
Data Entry & Procurement Officer,Full Time,Lagos
Data Science and Artificial Intelligence Innovations Lead,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Full Time Remote,Lagos
Data Entry Intern,Full Time,Nigeria
"Senior Program Specialist, Data Analysis & Visualization",Full Time,Lagos
"Data Analyst, Nigeria Monitoring Project-",Full Time,Remote
Lead / Head Data Governance,Full Time,Remote
Chief Data Officer,Full Time,Remote
Data Entry Officer,Full Time,Lagos
Data Center Business Development,Full Time,Lagos
Senior Data Engineer,Full Time Remote,Nigeria
Python Data Scientist,Full Time,Nigeria
Data Analysts,Full Time,Nigeria
Senior Data Scientist,Contract,Lagos
Data Entry Clerks,Full Time,"Abuja , Oyo"
Data/System Analyst(s),Full Time,
Senior Data Officer,Full Time,Abia
Graduate Trainee Data Scientist,Full Time,Lagos
Data Processing Teacher,Full Time,Oyo
Data Processing Officer,Full Time,Plateau
Regional Data Analyst,Full Time,Nigeria
Data Analyst,Full Time,Abia
Regional Business Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Junior Data Quality Scientist,Full Time,Lagos
"Manager, Process, Data & Analytics",Full Time Remote,Abia
"Manager, People Data Management",Full Time Remote,Abia
Data Analyst,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst (Remote),Remote,Other
Data Science Tutor,Full Time,"Abuja , Benue , Delta"
Data Entry Analyst,Full Time,Lagos
EHS Specialist - Environmental Data Analyst,Full Time,Remote
Data Analyst,Full Time,Lagos
Data Entry Analyst,Full Time,Lagos
EHS Specialist - Environmental Data Analyst,Full Time,Rivers
Data Analyst,Full Time,Lagos
Digital Marketing & Data Analysis Assistant,Full Time,Ogun
Data Analyst Officer,Full Time,Lagos
